timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1519580891897,7198,HTTP Request_SignupCheck,200,,signuptest 1-44,text,true,,640,595,10,55,7166,0,1
1519580892513,6586,HTTP Request_Login check,200,,login Test 2-70,text,true,,651,511,45,54,6586,0,1
1519580892485,6615,HTTP Request_Login check,200,,login Test 2-68,text,true,,651,487,44,53,6576,0,0
1519580891844,7257,HTTP Request_SignupCheck,200,,signuptest 1-39,text,true,,640,577,9,52,7222,0,1
1519580892387,6715,HTTP Request_SignupCheck,200,,signuptest 1-85,text,true,,640,555,8,51,6684,0,1
1519580892337,6766,HTTP Request_SignupCheck,200,,signuptest 1-81,text,true,,640,578,7,50,6744,0,1
1519580892530,6579,HTTP Request_SignupCheck,200,,signuptest 1-97,text,true,,640,567,6,49,6568,0,0
1519580892487,6622,HTTP Request_SignupCheck,200,,signuptest 1-93,text,true,,640,557,5,48,6608,0,0
1519580892102,7010,HTTP Request_Login check,200,,login Test 2-40,text,true,,651,482,43,47,7010,0,1
1519580892137,6977,HTTP Request_Login check,200,,login Test 2-42,text,true,,651,489,42,46,6977,0,0
1519580892158,6964,HTTP Request_Login check,200,,login Test 2-45,text,true,,651,514,41,45,6964,0,1
1519580892059,7150,HTTP Request_Login check,200,,login Test 2-36,text,true,,651,479,40,44,7127,0,51
1519580892867,6342,HTTP Request_Login check,200,,login Test 2-93,text,true,,651,512,39,43,6337,0,1
1519580892246,6972,HTTP Request_Login check,200,,login Test 2-53,text,true,,651,492,38,42,6971,0,1
1519580892033,7185,HTTP Request_Login check,200,,login Test 2-30,text,true,,651,472,37,41,7181,0,1
1519580892108,7115,HTTP Request_SignupCheck,200,,signuptest 1-62,text,true,,640,591,4,40,7115,0,1
1519580892951,6274,HTTP Request_Login check,200,,login Test 2-99,text,true,,651,504,36,39,6274,0,0
1519580892740,6486,HTTP Request_Login check,200,,login Test 2-85,text,true,,651,506,35,38,6486,0,1
1519580892066,7198,HTTP Request_Login check,200,,login Test 2-37,text,true,,651,505,34,37,7198,0,9
